ccode,cilocode,Country,industry,indcode,v_1980,v_1981,v_1982,v_1983,v_1984,v_1985,v_1986,v_1987,v_1988,v_1989,v_1990,v_1991,v_1992,v_1993,v_1994,v_1995,v_1996,v_1997,v_1998,v_1999,v_2000
AUS,36,Australia,0;Total,0,6284.3,6416.5,6414.9,6300.4,6493.9,6697.5,6974.5,7128.8,7398.3,7719.8,7858.9,7675.6,7636.9,7679.6,7920.7,.,.,.,.,.,.
AUS,36,Australia,"1;Agriculture, hunting, forestry and fishing",1,407.3,415.9,411.9,415.9,402.5,414.4,427.2,413.8,433.6,428.5,439.1,422,404.5,408.8,403.6,.,.,.,.,.,.
AUS,36,Australia,2;Mining and quarrying,2,82.9,94.5,95.3,97.8,96.3,99.6,102,101.9,95.7,103.1,98.6,92.2,88.4,88.9,86.3,.,.,.,.,.,.
AUS,36,Australia,3;Manufacturing,3,1246.5,1252.3,1213.6,1143.4,1145.3,1116,1119.6,1132.1,1165.6,1201.5,1166.5,1091.3,1075.7,1067.9,1106,.,.,.,.,.,.
AUS,36,Australia,"4;Electricity, gas and water",4,129.5,128.9,132.9,140.4,146.6,137.3,141.1,126.4,120.7,117,105.6,102.3,104.2,95.5,90.2,.,.,.,.,.,.
AUS,36,Australia,5;Construction,5,486.8,482.3,466.2,408.1,428.6,480,489.3,503.7,535.8,601.1,594.2,539.5,522.1,550.5,569.6,.,.,.,.,.,.
AUS,36,Australia,6;Wholesale and retail trade and restaurants and hotels,6,1494.3,1491.9,1481.1,1455.9,1495.2,1558.4,1642.1,1683.2,1790.9,1894.3,1947.1,1926.2,1922.6,1950.8,2014.4,.,.,.,.,.,.
AUS,36,Australia,"7;Transport, storage and communication",7,460.4,479.9,504,499.4,495.4,512.2,526,516,517.5,534.3,531.3,527,493.1,484.5,510.7,.,.,.,.,.,.
AUS,36,Australia,"8;Financing, insurance, real estate and business services",8,517.7,557.1,577.8,572.2,615.9,739.7,788.2,837.7,888.7,960.5,1001.5,985.9,980.9,952.6,1026.2,.,.,.,.,.,.
AUS,36,Australia,"9;Community, social and personal services",9,1450.5,1496.1,1522.1,1555.8,1648.7,1645.1,1712.8,1785.3,1817.7,1875.9,1052.5,1981.5,2020.8,2045.3,2078.3,.,.,.,.,.,.
AUT,40,Austria,0;Total,0,.,.,.,3158.4,3235.3,3234.5,3282.3,3299.8,3310.6,3346.4,3421.1,3481.7,3546.7,3575.5,3742,.,.,.,.,.,.
AUT,40,Austria,"1;Agriculture, hunting, forestry and fishing",1,.,.,.,313.2,304.1,290.9,282.7,284.7,269.6,265.5,268.7,256.4,250.2,246.5,269.3,.,.,.,.,.,.
AUT,40,Austria,2;Mining and quarrying,2,.,.,.,15.2,16.7,14.2,14,13.9,16.2,12.9,11.6,12,12.6,10.2,9.1,.,.,.,.,.,.
AUT,40,Austria,3;Manufacturing,3,.,.,.,894.4,920.6,913.1,925.3,931.3,914.7,910.4,921.8,934.7,921.9,902.8,817.7,.,.,.,.,.,.
AUT,40,Austria,"4;Electricity, gas and water",4,.,.,.,41.4,39.8,41.9,40.5,40.5,37.7,41.5,40.2,40.2,38.4,35.9,35.3,.,.,.,.,.,.
AUT,40,Austria,5;Construction,5,.,.,.,274.3,255.9,263.7,261.6,257.5,267.7,273.4,286.3,296.8,288,305.8,352.7,.,.,.,.,.,.
AUT,40,Austria,6;Wholesale and retail trade and restaurants and hotels,6,.,.,.,539.7,587.1,578,599.7,582.3,596.1,610.1,633.9,660.7,666.5,674.3,772.5,.,.,.,.,.,.
AUT,40,Austria,"7;Transport, storage and communication",7,.,.,.,205.9,205.1,208.2,218.9,218,208.3,213.5,217.8,223.6,234.1,232.5,246,.,.,.,.,.,.
AUT,40,Austria,"8;Financing, insurance, real estate and business services",8,.,.,.,173.6,170.5,178.8,186.3,193.2,199.6,206.4,220.9,232,264.8,265.3,344.1,.,.,.,.,.,.
AUT,40,Austria,"9;Community, social and personal services",9,.,.,.,698.8,711,735.7,741.2,767.3,784.7,798.9,804.6,806.4,849.1,882.5,895.4,.,.,.,.,.,.
AUT,40,Austria,11;not adequately defined,11,.,.,.,2,9.4,10,12.2,11.1,15.9,13.8,15,18.9,21,19.7,19.7,.,.,.,.,.,.
AZE,31,Azerbaijan,0;Total,0,.,.,.,2503.1,2559.4,2619.2,2671.1,2749.5,2761.3,2880,3703.4,3732,3722,3714.6,3631.3,3613,3686.7,3694.1,3701.5,3702.8,3704.5
AZE,31,Azerbaijan,"1;Agriculture, hunting, forestry and fishing",1,.,.,.,835.3,854.8,870.3,884.5,925.3,904.1,910.3,1144.4,1186.1,1291.5,1203.5,1143.9,1112.8,1172.4,1071.3,1085.4,.,.
AZE,31,Azerbaijan,3;Manufacturing,3,.,.,.,457.1,464.8,474.1,480.4,484.8,487,483.1,469.1,458.8,429.4,391.8,373.7,352.1,282.9,242,240.2,.,.
AZE,31,Azerbaijan,"4;Electricity, gas and water",4,.,.,.,75.1,78.1,81.7,83.5,87,92.5,109,125.9,126.8,99.3,107.7,116.2,104.8,110.6,121.9,126.6,.,.
AZE,31,Azerbaijan,5;Construction,5,.,.,.,195.9,200.9,210.4,217.8,228,229.1,243.4,251.7,245.7,225.6,212.3,191.7,185.1,164.1,153.3,150.2,.,.
AZE,31,Azerbaijan,6;Wholesale and retail trade and restaurants and hotels,6,.,.,.,162,166,171.7,174.5,177.7,185.6,262.4,366.6,388.3,388.3,445.8,464.8,505.8,582.5,768.4,772.3,.,.
AZE,31,Azerbaijan,"7;Transport, storage and communication",7,.,.,.,221,224.4,230.6,232,230.3,221.8,200.8,215.8,215.8,196,196.2,190.5,159.1,168.3,166.3,166.8,.,.
AZE,31,Azerbaijan,"8;Financing, insurance, real estate and business services",8,.,.,.,9.8,10,9.9,10,10.4,10.2,10.8,10.7,10.4,10.5,12.6,12.9,14.2,14,10.5,10.2,.,.
AZE,31,Azerbaijan,"9;Community, social and personal services",9,.,.,.,446.4,458.2,469.2,483.2,495.1,521.3,546.9,558.4,587.1,562.2,607.8,616.6,613.7,625.4,618.1,618.3,.,.
AZE,31,Azerbaijan,11;not adequately defined,11,.,.,.,100.5,102.2,101.3,105.2,110.9,109.7,113.3,560.8,513,519.2,536.9,521,565.4,566.5,542.3,531.5,.,.
BGD,50,Bangladesh,0;Total,0,.,.,.,27976,28977,30563,.,.,.,50148,50159,.,.,.,.,.,54597,.,.,.,51764
BGD,50,Bangladesh,"1;Agriculture, hunting, forestry and fishing",1,.,.,.,16448,16712,17463,.,.,.,32571,33303,.,.,.,.,.,34530,.,.,.,32171
BGD,50,Bangladesh,2;Mining and quarrying,2,.,.,.,46,3,3,.,.,.,89,15,.,.,.,.,.,23,.,.,.,295
BGD,50,Bangladesh,3;Manufacturing,3,.,.,.,2483,2688,3019,.,.,.,6975,5925,.,.,.,.,.,4085,.,.,.,3783
BGD,50,Bangladesh,"4;Electricity, gas and water",4,.,.,.,68,91,138,.,.,.,17,40,.,.,.,.,.,103,.,.,.,134
BGD,50,Bangladesh,5;Construction,5,.,.,.,487,552,647,.,.,.,661,525,.,.,.,.,.,1015,.,.,.,1099
BGD,50,Bangladesh,6;Wholesale and retail trade and restaurants and hotels,6,.,.,.,3255,3610,3833,.,.,.,4130,4285,.,.,.,.,.,6060,.,.,.,6275
BGD,50,Bangladesh,"7;Transport, storage and communication",7,.,.,.,1088,1170,1321,.,.,.,1278,1611,.,.,.,.,.,2308,.,.,.,2509
BGD,50,Bangladesh,"8;Financing, insurance, real estate and business services",8,.,.,.,136,199,367,.,.,.,238,296,.,.,.,.,.,213,.,.,.,403
BGD,50,Bangladesh,"9;Community, social and personal services",9,.,.,.,2294,2550,2563,.,.,.,1794,1909,.,.,.,.,.,5092,.,.,.,2969
BGD,50,Bangladesh,11;not adequately defined,11,.,.,.,1671,1402,1209,.,.,.,2390,2249,.,.,.,.,.,1168,.,.,.,2126
